Report_Name,Title Master Report,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,
Institution_Name,University of Mary Washington,,,,,,,,,,,,,,,,,,,,,
Institution_ID,BRILL:brill-prod_6418,,,,,,,,,,,,,,,,,,,,,
Metric_Types,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,Attributes_To_Show=Data_Type|YOP|Access_Type|Access_Method,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2021-01-01; End_Date=2021-06-30,,,,,,,,,,,,,,,,,,,,,
Created,2022-01-13T15:31:02Z,,,,,,,,,,,,,,,,,,,,,
Created_By,KGL PubFactory powered by Scholarly iQ for Brill,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21
Animal Biology,BRILL,,Brill,,,,1570-7555,1570-7563,https://brill.com/view/journals/ab/ab-overview.xml,Journal,,2003,Controlled,Regular,No_License,1,0,0,1,0,0,0
Animal Biology,BRILL,,Brill,,,,1570-7555,1570-7563,https://brill.com/view/journals/ab/ab-overview.xml,Journal,,2003,Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0
Animal Biology,BRILL,,Brill,,,,1570-7555,1570-7563,https://brill.com/view/journals/ab/ab-overview.xml,Journal,,2003,Controlled,Regular,Unique_Item_Investigations,1,0,0,1,0,0,0
Animals and Their People,BRILL,,Brill,10.1163/9789004386228,,978-90-04-38622-8,,,https://brill.com/view/title/36120,Book,,2018,Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0
Animals and Their People,BRILL,,Brill,10.1163/9789004386228,,978-90-04-38622-8,,,https://brill.com/view/title/36120,Book,,2018,Controlled,Regular,Unique_Item_Investigations,1,1,0,0,0,0,0
Animals and Their People,BRILL,,Brill,10.1163/9789004386228,,978-90-04-38622-8,,,https://brill.com/view/title/36120,Book,,2018,Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0
"Arabic Humanities, Islamic Thought",BRILL,,Brill,10.1163/9789004343290,,978-90-04-34329-0,,,https://brill.com/view/title/34229,Book,,2017,Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0
"Arabic Humanities, Islamic Thought",BRILL,,Brill,10.1163/9789004343290,,978-90-04-34329-0,,,https://brill.com/view/title/34229,Book,,2017,Controlled,Regular,Unique_Item_Investigations,1,1,0,0,0,0,0
"Arabic Humanities, Islamic Thought",BRILL,,Brill,10.1163/9789004343290,,978-90-04-34329-0,,,https://brill.com/view/title/34229,Book,,2017,Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0
Artistic Reconfigurations of Rome,BRILL,,Brill,10.1163/9789004394216,,978-90-04-39421-6,,,https://brill.com/view/title/54463,Book,,2019,Controlled,Regular,Total_Item_Investigations,2,2,0,0,0,0,0
Artistic Reconfigurations of Rome,BRILL,,Brill,10.1163/9789004394216,,978-90-04-39421-6,,,https://brill.com/view/title/54463,Book,,2019,Controlled,Regular,Total_Item_Requests,1,1,0,0,0,0,0
Artistic Reconfigurations of Rome,BRILL,,Brill,10.1163/9789004394216,,978-90-04-39421-6,,,https://brill.com/view/title/54463,Book,,2019,Controlled,Regular,Unique_Item_Investigations,2,2,0,0,0,0,0
Artistic Reconfigurations of Rome,BRILL,,Brill,10.1163/9789004394216,,978-90-04-39421-6,,,https://brill.com/view/title/54463,Book,,2019,Controlled,Regular,Unique_Item_Requests,1,1,0,0,0,0,0
Artistic Reconfigurations of Rome,BRILL,,Brill,10.1163/9789004394216,,978-90-04-39421-6,,,https://brill.com/view/title/54463,Book,,2019,Controlled,Regular,Unique_Title_Investigations,2,2,0,0,0,0,0
Artistic Reconfigurations of Rome,BRILL,,Brill,10.1163/9789004394216,,978-90-04-39421-6,,,https://brill.com/view/title/54463,Book,,2019,Controlled,Regular,Unique_Title_Requests,1,1,0,0,0,0,0
Asian Medicine,BRILL,,Brill,,,,1573-420X,1573-4218,https://brill.com/view/journals/asme/asme-overview.xml,Journal,,2015,Controlled,Regular,No_License,1,0,1,0,0,0,0
Asian Medicine,BRILL,,Brill,,,,1573-420X,1573-4218,https://brill.com/view/journals/asme/asme-overview.xml,Journal,,2015,Controlled,Regular,Total_Item_Investigations,1,0,1,0,0,0,0
Asian Medicine,BRILL,,Brill,,,,1573-420X,1573-4218,https://brill.com/view/journals/asme/asme-overview.xml,Journal,,2015,Controlled,Regular,Unique_Item_Investigations,1,0,1,0,0,0,0
At War for Peace,BRILL,,Brill,10.1163/9781848880351,,978-1-84888-035-1,,,https://brill.com/view/title/54892,Book,,2010,Controlled,Regular,No_License,1,0,0,1,0,0,0
