Report_Name,"Title Master Report"
Report_ID,"TR"
Release,"5"
Institution_Name,"University of Mary Washington"
Institution_ID,"sagepub:115139"
Metric_Types,""
Report_Filters,""
Report_Attributes,"Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP"
Exceptions,""
Reporting_Period,"Begin_Date=2020-07-01; End_Date=2021-06-30"
Created,"2022-01-12T19:15:28Z"
Created_By,"SAGE Publishing SecureCenter"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021"
"Encyclopedia of Diversity in Education","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781452218533","","978-1-45-221853-3","","9781-1412","","Book","","2012","Controlled","Regular","Unique_Title_Investigations","2","0","0","0","0","0","0","0","0","1","1","0","0"
"Encyclopedia of Diversity in Education","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781452218533","","978-1-45-221853-3","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","2","0","0","0","0","0","0","0","0","1","1","0","0"
"Encyclopedia of Diversity in Education","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781452218533","","978-1-45-221853-3","","9781-1412","","Book","Chapter","2012","Controlled","Regular","Total_Item_Investigations","2","0","0","0","0","0","0","0","0","1","1","0","0"
"Encyclopedia of Diversity in Education","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781452218533","","978-1-45-221853-3","","9781-1412","","Book","Chapter","2012","Controlled","Regular","Unique_Item_Investigations","2","0","0","0","0","0","0","0","0","1","1","0","0"
"Encyclopedia of Educational Theory and Philosophy","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346229","73886","978-1-48-334622-9","","9781-1452","","Book","","2014","Controlled","Regular","Unique_Title_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Encyclopedia of Educational Theory and Philosophy","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346229","73886","978-1-48-334622-9","","9781-1452","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Encyclopedia of Educational Theory and Philosophy","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346229","73886","978-1-48-334622-9","","9781-1452","","Book","Chapter","2014","Controlled","Regular","Total_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Encyclopedia of Educational Theory and Philosophy","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346229","73886","978-1-48-334622-9","","9781-1452","","Book","Chapter","2014","Controlled","Regular","Unique_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Encyclopedia of Global Warming and Climate Change","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963893","","978-1-41-296389-3","","9781-1412","","Book","","2008","Controlled","Regular","Unique_Title_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Encyclopedia of Global Warming and Climate Change","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963893","","978-1-41-296389-3","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","1","0","0","0","0","0","0","0","0","0"
