title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
K Blows Top,ProQuest,PublicAffairs,ProQuest Ebook Central,978-1-58648-846-8,,,2009,Controlled,Regular,Unique Title Requests,6
Full Catastrophe Living,ProQuest,University of Iowa Press,ProQuest Ebook Central,978-1-58729-798-4,,,2009,Controlled,Regular,Unique Title Requests,4
A Peculiar People,ProQuest,University of Iowa Press,ProQuest Ebook Central,978-1-58729-805-9,,,2009,Controlled,Regular,Unique Title Requests,1
Classics of Science Fiction and Fantasy Literature (Magill's choice),EBSCO,Salem Press,EBSCOhost,978-1-58765-050-5,,,2002,Controlled,Regular,Unique Title Requests,1
Ethics,EBSCO,Salem Press,EBSCOhost,978-1-58765-170-0,,,2004,Controlled,Regular,Unique Title Requests,1
American Indian Culture (Magill's choice),EBSCO,Salem Press,EBSCOhost,978-1-58765-192-2,,,2004,Controlled,Regular,Unique Title Requests,1
Women at Work,ProQuest,Lynne Rienner Publishers,ProQuest Ebook Central,978-1-58826-720-7,,,2010,Controlled,Regular,Unique Title Requests,1
The Greening of the U.S. Military,ProQuest,Georgetown University Press,ProQuest Ebook Central,978-1-58901-153-3,,,2007,Controlled,Regular,Unique Title Requests,2
Introducción a la Historia de la Lengua Española : Segunda Edición,ProQuest,Georgetown University Press,ProQuest Ebook Central,978-1-58901-732-0,,,2011,Controlled,Regular,Unique Title Requests,1
GIS Tutorial for Python Scripting,ProQuest,Esri Press,ProQuest Ebook Central,978-1-58948-356-9,,,2014,Controlled,Regular,Unique Title Requests,1
Indian Sketches : Taken During an Expedition to the Pawnee Tribes in 1833,ProQuest,"Narrative Press, The",ProQuest Ebook Central,978-1-58976-050-9,,,2000,Controlled,Regular,Unique Title Requests,1
The SBL Handbook of Style,ProQuest,Society of Biblical Literature,ProQuest Ebook Central,978-1-58983-964-9,,,2014,Controlled,Regular,Unique Title Requests,1
Practicing Peace in Times of War,EBSCO,Shambhala,EBSCOhost,978-1-59030-401-3,,,2006,Controlled,Regular,Unique Title Requests,4
Through the Wheat : The U.S. Marines in World War I,ProQuest,Naval Institute Press,ProQuest Ebook Central,978-1-59114-831-9,,,2014,Controlled,Regular,Unique Title Requests,10
Encyclopedia of Information Science and Technology; Volume V,EBSCO,IGI Global,EBSCOhost,978-1-59140-553-5,,,2005,Controlled,Regular,Unique Title Requests,1
Managing Business in a Multi-channel World: Success Factors for E-business,EBSCO,IGI Global,EBSCOhost,978-1-59140-629-7,,,2005,Controlled,Regular,Unique Title Requests,1
"Pathological gambling: Etiology, comorbidity, and treatment",EBSCO,American Psychological Association,EBSCOhost,978-1-59147-173-8,,,2005,Controlled,Regular,Unique Title Requests,1
Power of Reading: Insights from the Research,EBSCO,Libraries Unlimited Incorporated,EBSCOhost,978-1-59158-169-7,,,2004,Controlled,Regular,Unique Title Requests,2
Celebrating Cuentos: Promoting Latino Children's Literature and Literacy in Classrooms and Libraries (Children's and young adult literature reference),EBSCO,Libraries Unlimited Incorporated,EBSCOhost,978-1-59158-904-4,,,2010,Controlled,Regular,Unique Title Requests,3
Critical Theory for Library and Information Science: Exploring the Social from Across the Disciplines,EBSCO,Libraries Unlimited Incorporated,EBSCOhost,978-1-59158-938-9,,,1680,Controlled,Regular,Unique Title Requests,2
Manufacturing Suburbs,ProQuest,Temple University Press,ProQuest Ebook Central,978-1-59213-085-6,,,2004,Controlled,Regular,Unique Title Requests,3
"From Black Power to Hip Hop : Racism, Nationalism, and Feminism",ProQuest,Temple University Press,ProQuest Ebook Central,978-1-59213-091-7,,,2006,Controlled,Regular,Unique Title Requests,2
Oral History and Public Memories,ProQuest,Temple University Press,ProQuest Ebook Central,978-1-59213-140-2,,,2008,Controlled,Regular,Unique Title Requests,5
"Hybridity, or the Cultural Logic of Globalization",JSTOR,Temple University Press,JSTOR,978-15-92131-43-3,,,2005,Controlled,Regular,Unique Title Requests,4
Afterimage,JSTOR,Temple University Press,JSTOR,978-15-92132-08-9,,,2004,Controlled,Regular,Unique Title Requests,1
The Smoke of the Gods,ProQuest,Temple University Press,ProQuest Ebook Central,978-1-59213-480-9,,,2006,Controlled,Regular,Unique Title Requests,1
Comprehending Columbine,JSTOR,Temple University Press,JSTOR,978-15-92134-90-8,,,2007,Controlled,Regular,Unique Title Requests,4
Black Communists Speak on Scottsboro,ProQuest,Temple University Press,ProQuest Ebook Central,978-1-59213-597-4,,,2007,Controlled,Regular,Unique Title Requests,6
Swimming Against the Tide,ProQuest,Temple University Press,ProQuest Ebook Central,978-1-59213-621-6,,,2008,Controlled,Regular,Unique Title Requests,1
Telling Young Lives: Portraits in Global Youth,EBSCO,Temple University,EBSCOhost,978-1-59213-930-9,,,2008,Controlled,Regular,Unique Title Requests,3
"Working Americans, 1880-2012",ProQuest,Grey House Publishing,ProQuest Ebook Central,978-1-59237-877-7,,,2012,Controlled,Regular,Unique Title Requests,1
"Working Americans, 1880-2012 : Educators and Education",ProQuest,Grey House Publishing,ProQuest Ebook Central,978-1-59237-877-7,,,2012,Controlled,Regular,Unique Title Requests,1
Authentically Black: Essays for the Black Silent Majority,EBSCO,Avery Publishing,EBSCOhost,978-1-59240-001-0,,,2003,Controlled,Regular,Unique Title Requests,1
The Steve Jobs Way : iLeadership for a New Generation,ProQuest,Vanguard Press,ProQuest Ebook Central,978-1-59315-710-4,,,2011,Controlled,Regular,Unique Title Requests,1
Google Way,ProQuest,"No Starch Press, Incorporated",ProQuest Ebook Central,978-1-59327-184-8,,,2009,Controlled,Regular,Unique Title Requests,1
Python Crash Course,ProQuest,"No Starch Press, Incorporated",ProQuest Ebook Central,978-1-59327-603-4,,,2015,Controlled,Regular,Unique Title Requests,85
"Python Crash Course : A Hands-On, Project-Based Introduction to Programming",ProQuest,"No Starch Press, Incorporated",ProQuest Ebook Central,978-1-59327-603-4,,,2015,Controlled,Regular,Unique Title Requests,164
"Felony Disenfranchisement in America : Historical Origins, Institutional Racism, and Modern Consequences",ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-061-4,,,2004,Controlled,Regular,Unique Title Requests,1
Health and Behavior Among Immigrant Youth (The new Americans),EBSCO,LFB Scholarly Publishing LLC,EBSCOhost,978-1-59332-097-3,,,2005,Controlled,Regular,Unique Title Requests,1
"Asian American Assimilation : Ethnicity, Immigration, and Socioeconomic Attainment",ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-175-8,,,2007,Controlled,Regular,Unique Title Requests,7
Intermarriage Across Race and Ethnicity Among Immigrants,ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-294-6,,,2008,Controlled,Regular,Unique Title Requests,1
American Attitudes toward Immigrants and Immigration Policy,ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-386-8,,,2010,Controlled,Regular,Unique Title Requests,7
Gender Attitudes and Violence against Women,ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-463-6,,,2011,Controlled,Regular,Unique Title Requests,2
Student First Amendment Speech and Expression Rights,ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-473-5,,,2011,Controlled,Regular,Unique Title Requests,1
Struggles Over Immigrants' Language,ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-477-3,,,2012,Controlled,Regular,Unique Title Requests,1
African American Felon Disenfranchisement,ProQuest,LFB Scholarly Publishing LLC,ProQuest Ebook Central,978-1-59332-601-2,,,2013,Controlled,Regular,Unique Title Requests,1
Britannica Concise Encyclopedia,ProQuest,"Encyclopaedia Britannica, Incorporated",ProQuest Ebook Central,978-1-59339-293-2,,,2006,Controlled,Regular,Unique Title Requests,4
First Impressions,ProQuest,Guilford Publications,ProQuest Ebook Central,978-1-59385-716-5,,,2008,Controlled,Regular,Unique Title Requests,4
The Secret Wars of Judi Bari,ProQuest,Encounter Books,ProQuest Ebook Central,978-1-59403-099-4,,,2005,Controlled,Regular,Unique Title Requests,1
"Families : Joys, Conflicts, and Changes",ProQuest,Taylor & Francis Group,ProQuest Ebook Central,978-1-59451-016-8,,,2004,Controlled,Regular,Unique Title Requests,5
Pedagogy of Indignation,ProQuest,Taylor & Francis Group,ProQuest Ebook Central,978-1-59451-050-2,,,2005,Controlled,Regular,Unique Title Requests,1
A People's History of Poverty in America,ProQuest,The New Press,ProQuest Ebook Central,978-1-59558-672-8,,,2011,Controlled,Regular,Unique Title Requests,91
The Encyclopedia of Sixties Cool,ProQuest,Santa Monica Press,ProQuest Ebook Central,978-1-59580-017-6,,,2007,Controlled,Regular,Unique Title Requests,1
